,event,Title,Location,Date,Summary,Fatalities,Injured,Total victims,Mental Health Issues,Race,Gender,Latitude,Longitude,year,month,week,day
211,212,Mojave High School Bus,"Las Vegas, Nevada",2007-12-11,"On December 11, 2007, an 18-year-old high school drop out of Mojave High School in Las Vegas, Nevada arrived at a school bus stop where he planned an encounter with a student who had bumped into him the day before. He then began shooting at the student and others, wounding six before fleeing the scene. The shooter was arrested in Denver, CO after the police received a tip that he was on a bus to Chicago.",0,6,6,No,Black American or African American,Male,36.18931923,-115.3264875,2007,12,50,Tuesday
212,213,Youth With A Mission and New Life Church,"Arvada, Colorado",2007-12-09,"On December 9, 2007, a 24-year-old failed missionary entered the Youth With A Mission training center in Arvada, Colorado and began shooting, killing two and wounding two others. He then went to the New Life Church, shooting and killing two more and wounding three others. A former police officer in the congregation opened fire on the shooter, wounding him before he decided to take his own life. ",5,5,9,No,White American or European American,Male,39.81087474,-105.17371499999999,2007,12,49,Sunday
213,214,Westroads Mall shooting,"Omaha, Nebraska",2007-12-05,"Robert A. Hawkins, 19, opened fire inside Westroads Mall before committing suicide.",9,4,13,Yes,white,Male,41.258731700000006,-95.93787320000001,2007,12,49,Wednesday
214,215,South Middle School Football Game,"Saginaw, Michigan",2007-10-25,"On October 25, 2007, a 15-year-old student arrived at a football game at South Middle School in Saginaw, Michigan looking for his brother. He then ran into other students with which he had an ongoing confrontation and began shooting, wounding four before fleeing the scene. He was later arrested and charged with assault with intent to murder",0,4,4,No,Black American or African American,Male,43.41929117,-83.95032759,2007,10,43,Thursday
215,216,SuccessTech Academy,"Cleveland, Ohio",2007-10-11,"On October 11, 2007, a 14-year-old student of SuccessTech Academy in Cleveland, Ohio arrived at school two days after he had been suspended for getting into a fist-fight with another student. He then began shooting at students and teachers, injuring four during the incident and committing suicide. ",1,4,4,Yes,White American or European American,Male,41.47657557,-81.68051502,2007,10,41,Thursday
216,217,Crandon shooting,"Crandon, Wisconsin",2007-10-07,"Off-duty sheriff's deputy Tyler Peterson, 20, opened fire inside an apartment after an argument at a homecoming party. He fled the scene and later committed suicide.",6,1,7,Unclear,white,Male,45.571907200000005,-88.9028922,2007,10,40,Sunday
217,218,Virginia Tech massacre,"Blacksburg, Virginia",2007-04-16,"Virginia Tech student Seung-Hui Cho, 23, opened fire on his school's campus before committing suicide.",32,23,55,Yes,Asian,Male,37.2295733,-80.4139393,2007,4,16,Monday
218,219,Springwater Trail High School,"Gresham, Oregon",2007-04-10,"On April 10, 2007, a 15-year-old student of Springwater Trail High School in Gresham, Oregon arrived to his school and began shooting at his classmates. He wounded ten and killed none before being arrested.",0,10,10,No,Some other race,Male,45.50216511,-122.44127590000001,2007,4,15,Tuesday
219,220,Trolley Square,"Salt Lake City, Utah",2007-02-12,"On February 12, 2007, an 18-year-old refugee and high school drop out in Salt Lake City, Utah arrived at Trolley Square and began shooting at the crowd. He killed five and wounded four others before being shot and killed by police. The incident was thought to be an attack of religious radicalism.",6,4,9,Unknown,White American or European American,Male,40.77787404,-111.9312168,2007,2,7,Monday
220,221,Amish school shooting,"Lancaster County, Pennsylvania",2006-10-02,"Charles Carl Roberts, 32, shot 10 young girls in a one-room schoolhouse in Bart Township, killing 5, before taking his own life.",6,5,11,No,white,Male,39.9589,-76.0806,2006,10,40,Monday
